LOINC_NUM,COMPONENT
10626-0,Spermatozoa.slow/100 spermatozoa
10627-8,Spermatozoa.small oval head/100 spermatozoa
10628-6,Spermatozoa.tail swelling/100 spermatozoa
1062-9,I NOS Ab
10629-4,Spermatozoa.vacuolated head/100 spermatozoa
10630-2,Spinnbarkeit
10631-0,Testosterone
10632-8,Time until next menstrual period
10633-6,Zinc
10634-4,Complement C1 esterase inhibitor.functional/Complement C1 esterase inhibitor.total
10635-1,Acanthamoeba sp identified
10636-9,Acanthamoeba sp identified
1063-7,I NOS Ab
10637-7,Microscopic observation
10638-5,Actinomycetes.thermophilic colony count
10639-3,Actinomycetes.thermophilic identified
10640-1,Adenovirus 40+41
10641-9,Amoeba identified
10642-7,Amoeba identified
10643-5,Amoeba identified
10644-3,Arthropod identified
1064-5,I NOS Ag
10645-0,Aspergillus fumigatus Ag
10646-8,Astrovirus
10647-6,Babesia sp identified
10648-4,Babesia sp identified
10649-2,Calicivirus
106-5,Ceforanide
10650-0,Candida sp DNA
10651-8,Chlamydophila pneumoniae Ag
1065-2,I NOS Ag
10652-6,Chlamydophila pneumoniae DNA
10653-4,Clotrimazole
10654-2,Clotrimazole
10655-9,Coccidia identified
10656-7,Coccidia identified
10657-5,Cryptococcus neoformans Ag
10658-3,Cyanobacterium identified
10659-1,Cyclospora sp identified
1066-0,I NOS Ag
10660-9,Cytomegalovirus Ag
10661-7,Dinoflagellate identified
10662-5,Filaria identified
10663-3,Filaria identified
10664-1,Filaria identified
10665-8,Fungus colony count
10666-6,Fungus identified
10667-4,Fungus identified
10668-2,Fungus identified
10669-0,Fungus identified
10670-8,Giardia lamblia
10671-6,Helminth identified
10672-4,Helminth+Arthropod identified
10673-2,Hepatitis B virus core Ag
10674-0,Hepatitis B virus surface Ag
10675-7,Hepatitis B virus surface Ag
10676-5,Hepatitis C virus RNA
10677-3,Herpes simplex virus 1 Ag
1067-8,J little k super little a Ab
10678-1,Herpes simplex virus 1+2 Ag
10679-9,Herpes simplex virus 2 Ag
10680-7,Herpes simplex virus identified
10681-5,Herpes simplex virus identified
10682-3,HIV 1 RNA
10683-1,Hydatid cyst identified
10684-9,Hydatid cyst identified
10685-6,Hydatid cyst identified
1068-6,J little k super little a Ab
10686-4,Leishmania sp identified
10687-2,Leishmania sp identified
10688-0,Microscopic observation
10689-8,Microscopic observation
10690-6,Microsporidia identified
10691-4,Mushroom.toxic identified
10692-2,Mushroom.toxic identified
10693-0,Mushroom.toxic identified
1069-4,J little k super little a Ab
10694-8,Naegleria sp identified
10695-5,Naegleria sp identified
10696-3,Norovirus
10697-1,Nystatin
10698-9,Nystatin
10699-7,Onchocerca sp identified
10700-3,Orthopoxvirus
10701-1,Ova & parasites identified
1070-2,J little k super little a Ag
10702-9,Ova & parasites identified
10703-7,Ova & parasites identified
10704-5,Ova & parasites identified
10705-2,Human papilloma virus Ag
10706-0,Picornavirus
10707-8,Plant.toxic identified
10708-6,Plant.toxic identified
10709-4,Plasmodium falciparum Ag
1071-0,J little k super little a Ag
10710-2,Plasmodium sp identified
10711-0,Plasmodium vivax Ag
10712-8,Pneumocystis sp identified
10713-6,Prototheca identified
10714-4,Rotavirus
10715-1,Schistosoma sp identified
10716-9,Schistosoma sp identified
10717-7,Streptococcus pneumoniae Ab
10718-5,Strongyloides sp Ab
10719-3,Taenia solium adult Ab
10720-1,Terbinafine
10721-9,Terbinafine
10722-7,Torovirus
10723-5,Toxoplasma gondii Ab.IgA
10724-3,Toxoplasma gondii Ab.IgE
10725-0,Toxoplasma gondii DNA
10726-8,Toxoplasma gondii
10727-6,Toxoplasma gondii identified
1072-8,J little k super little a Ag
10728-4,Trichomonas sp identified
10729-2,Trypanosoma sp identified
107-3,Cefotaxime
10730-0,Trypanosoma sp identified
10731-8,Trypanosoma sp identified
10732-6,Trypanosoma sp identified
10733-4,Trypanosoma sp identified
10734-2,Varicella zoster virus identified
10735-9,Viral sequencing
1073-6,J little k super little b Ab
10736-7,Virus identified
10737-5,Virus identified
10738-3,Virus identified
10739-1,Virus identified
10740-9,Aluminum.microscopic observation
10741-7,Amyloid.microscopic observation
10742-5,Amyloid.microscopic observation
10743-3,Amyloid.microscopic observation
1074-4,J little k super little b Ab
10744-1,Amyloid.microscopic observation
10745-8,Bile.microscopic observation
10746-6,Calcium.microscopic observation
10747-4,Collagen fibers+Elastic fibers.microscopic observation
10748-2,Collagen fibers+Elastic fibers.microscopic observation
10749-0,Collagen fibers.microscopic observation
10750-8,Connective tissue.microscopic observation
1075-1,J little k super little b Ab
10751-6,Copper.microscopic observation
10752-4,Fat.microscopic observation
10753-2,Fat.microscopic observation
10754-0,Fat.microscopic observation
10755-7,Fungus.microscopic observation
10756-5,Glial fibers.microscopic observation
10757-3,Hematologic+Nuclear elements.microscopic observation
10758-1,Iron.microscopic observation
10759-9,Iron.microscopic observation
10760-7,Iron.microscopic observation
10761-5,Iron.microscopic observation
10762-3,Microscopic observation
10763-1,Microscopic observation
10764-9,Microscopic observation
10765-6,Microscopic observation
10766-4,Microscopic observation
10767-2,Microscopic observation
10768-0,Microscopic observation
1076-9,J little k super little b Ag
10769-8,Microscopic observation
10770-6,Microscopic observation
10771-4,Microscopic observation
10772-2,Microscopic observation
10773-0,Microscopic observation
10774-8,Microscopic observation
10775-5,Microscopic observation
10776-3,Microscopic observation
1077-7,J little k super little b Ag
10777-1,Microscopic observation
10778-9,Microscopic observation
10779-7,Microscopic observation
10780-5,Microscopic observation
10781-3,Microscopic observation
10782-1,Microscopic observation
10783-9,Microscopic observation
10784-7,Microscopic observation
1078-5,J little k super little b Ag
10785-4,Microscopic observation
10786-2,Microscopic observation
10787-0,Microscopic observation
10788-8,Microscopic observation
10789-6,Microscopic observation
10790-4,Microscopic observation
10791-2,Microscopic observation
10792-0,Microscopic observation
1079-3,J little s super little a Ab
10793-8,Microscopic observation
10794-6,Microscopic observation
10795-3,Microscopic observation
10796-1,Microscopic observation
10797-9,Microscopic observation
10798-7,Microscopic observation
10799-5,Microscopic observation
10800-1,Microscopic observation
1080-1,J little s super little a Ab
10801-9,Microscopic observation
10802-7,Microscopic observation
10803-5,Microscopic observation
10804-3,Microscopic observation
10805-0,Microscopic observation
10806-8,Microscopic observation
10807-6,Microscopic observation
10808-4,Microscopic observation
10809-2,Microscopic observation
108-1,Cefotaxime
10810-0,Microscopic observation
10811-8,Microscopic observation
10812-6,Microscopic observation
10813-4,Microscopic observation
10814-2,Microscopic observation
10815-9,Microscopic observation
10816-7,Microscopic observation
10817-5,Microscopic observation
10818-3,Microscopic observation
1081-9,J little s super little a Ab
10819-1,Microscopic observation
10820-9,Microscopic observation
10821-7,Microscopic observation
10822-5,Mucin.microscopic observation
10823-3,Mucopolysaccharides.microscopic observation
10824-1,Myelin+Myelin breakdown products.microscopic observation
10825-8,Myelin+Nerve cells.microscopic observation
10826-6,Nissel.microscopic observation
1082-7,J little s super little a Ag
10827-4,Reticulum.microscopic observation
10828-2,Urate crystals.microscopic observation
10829-0,Silicon
10830-8,Surgical operation note complications
10831-6,Surgical operation note complications
10832-4,Glucose^15M post 50 g lactose PO
10833-2,Insulin^7H post 75 g glucose PO
10834-0,Globulin
1083-5,J little s super little a Ag
10835-7,Lipoprotein (little a)
10836-5,Niacin
10837-3,Organic acids
10838-1,Phosphoserine
10839-9,Troponin I.cardiac
10840-7,Atropine
10841-5,methazolAMIDE
10842-3,HLA-DQ1
1084-3,J little s super little a Ag
10843-1,HLA-DQ2
10844-9,HLA-DQ3
10845-6,HLA-DQ4
10846-4,Borrelia burgdorferi DNA
10847-2,Borrelia burgdorferi DNA
10848-0,Chlamydia sp Ab.IgG
10849-8,Chlamydia sp Ab.IgM
1085-0,J little s super little b Ab
10850-6,Cyclospora cayetanensis
10851-4,Escherichia coli O157:H7
10852-2,Fungus identified
10853-0,Isospora belli
10854-8,Microfilaria sp identified
10855-5,Ova & parasites identified
10856-3,Microscopic observation
10857-1,Microsporidia identified
10858-9,Teichoate Ab
10859-7,Trypanosoma sp
10860-5,Varicella zoster virus
10861-3,Progesterone receptor
10862-1,Basement membrane Ab
10863-9,Endomysium Ab.IgA
10864-7,Immune complex
10865-4,Intercellular substance Ab
10866-2,Sulfatide Ab.IgG
10867-0,Sulfatide Ab.IgM
1086-8,J little s super little b Ab
10868-8,Bacitracin
10869-6,Xylose^3H post 25 g xylose PO
10870-4,Xylose^4H post 25 g xylose PO
10871-2,Xylose^5H post 25 g xylose PO
10872-0,Xylose^baseline
10873-8,Beta-2-Microglobulin
10874-6,Bombesin
10875-3,Carnitine esters
1087-6,J little s super little b Ab
10876-1,Carnitine esters
10877-9,Carnitine.free (C0)
10878-7,Iodine.protein bound
10879-5,Isovalerylglycine
10880-3,Magnesium
10881-1,Pentacarboxylporphyrins
10882-9,Pentacarboxylporphyrins
10883-7,Phenolphthalein
1088-4,J little s super little b Ag
10884-5,Phosphate
10885-2,Porphyrins
10886-0,Prostate specific Ag.free
10887-8,Pyridinoline
10888-6,Triacylglycerol lipase
10889-4,Bisacodyl
10890-2,Normethsuximide
10891-0,Oxyphenisatin
1089-2,J little s super little b Ag
10892-8,Pentoxifylline
10893-6,Trenbolone
10894-4,Aspergillus niger Ab
10895-1,Clostridioides difficile toxin B
10896-9,Eastern equine encephalitis virus Ab.IgG
10897-7,Eastern equine encephalitis virus Ab.IgG
10898-5,Eastern equine encephalitis virus Ab.IgM
10899-3,Eastern equine encephalitis virus Ab.IgM
09-Oct,Amdinocillin
1090-0,J little s super little b Ag
10900-9,Hepatitis B virus surface Ab
10901-7,HIV 2 gp125 Ab
10902-5,HIV 2 gp36 Ab
10903-3,Hyaluronidase Ab
10904-1,La Crosse virus Ab.IgG
10905-8,La Crosse virus Ab.IgM
10906-6,Saint Louis encephalitis virus Ab.IgG
10907-4,Saint Louis encephalitis virus Ab.IgM
10908-2,Streptococcus pneumoniae 7 Ab.IgG
10909-0,Benzidine
10910-8,Borate
10911-6,Dichlorobenzidine
10912-4,Lead
10913-2,"4,4'-Methylene bis(2-Chloroaniline)"
10914-0,Methylenediamine
10915-7,Phencyclidine
10916-5,Platinum
10917-3,Zinc
1091-8,K Ab
10918-1,Zinc
10919-9,Anisakis Ab.IgE
10920-7,Phyllostachys pubescens Ab.IgE
10921-5,Blomia tropicalis Ab.IgE
10922-3,Bovine serum albumin Ab.IgE
10923-1,Bromelin Ab.IgE
10924-9,Averrhoa carambola Ab.IgE
10925-6,Scomber japonicus Ab.IgE
1092-6,K Ab
10926-4,Deer epithelium Ab.IgE
10927-2,Elk meat Ab.IgE
10928-0,Foeniculum vulgare fresh Ab.IgE
10929-8,Foeniculum vulgare seed Ab.IgE
10930-6,Artemia salina Ab.IgE
10931-4,Daphnia Ab.IgE
10932-2,Tetramin Ab.IgE
10933-0,Cyamopsis tetragonoloba Ab.IgE
1093-4,K Ab
10934-8,Psidium guajava Ab.IgE
10935-5,Horse serum proteins Ab.IgE
10936-3,Mare milk Ab.IgE
10937-1,Origanum majorana Ab.IgE
10938-9,Ephestia kuehniella Ab.IgE
10939-7,Lepidorhombus whiffiagonis Ab.IgE
10940-5,Cow milk boiled Ab.IgE
10941-3,Milk powder Ab.IgE
1094-2,K Ag
10942-1,Echinochloa crus-galli Ab.IgE
10943-9,Mink epithelium Ab.IgE
10944-7,Octopus vulgaris Ab.IgE
10945-4,Papain Ab.IgE
10946-2,Passiflora edulis Ab.IgE
10947-0,Diospyros kaki Ab.IgE
10948-8,Pigeon feather Ab.IgE
10949-6,Malassezia furfur Ab.IgE
10950-4,Reindeer epithelium Ab.IgE
10951-2,Sericin Ab.IgE
10952-0,Swine urine proteins Ab.IgE
10953-8,Phleum pratense Ab.IgG
10954-6,Pinus edulis Ab.IgE
10955-3,Pinus palustris Ab.IgE
10956-1,Pinus echinata Ab.IgE
10957-9,Pinus elliottii Ab.IgE
10958-7,Pinus virginiana Ab.IgE
1095-9,K Ag
10959-5,Pleuronectes platessa Ab.IgE
10960-3,Rabbit serum proteins Ab.IgE
10961-1,Rabbit urine proteins Ab.IgE
10962-9,Artemisia tridentata Ab.IgE
10963-7,Spondylocladium citrovirens Ab.IgE
10964-5,17-Hydroxyprogesterone^15M post 250 ug corticotropin IM
10965-2,17-Hydroxyprogesterone^30M post 250 ug corticotropin IM
10966-0,Glucose^2.5H post 75 g glucose PO
1096-7,K Ag
10967-8,Glucose^3.5H post 75 g glucose PO
10968-6,Glucose^4.5H post 75 g glucose PO
10969-4,Cystine+Homocysteine
10970-2,Galactose 1 phosphate uridyl transferase
10971-0,Lysozyme
10972-8,Organic acids
10973-6,3 methoxy O desmethylencainide
10974-4,5-Fluorocytosine
1097-5,K little p super little a Ab
10975-1,6-Monoacetylmorphine
10976-9,6-Monoacetylmorphine
10977-7,ALPRAZolam
10978-5,Amitriptyline+Nortriptyline
10979-3,Carisoprodol
10980-1,Cephapirin
10981-9,cloNIDine
10982-7,Demeclocycline
1098-3,K little p super little a Ab
10983-5,Norparamethadione
10984-3,Dicloxacillin
10985-0,Doxapram
10986-8,Doxycycline
10987-6,Fluconazole
10988-4,fluvoxaMINE
10989-2,Itraconazole
109-9,Cefotaxime
10990-0,Ketoconazole
1099-1,K little p super little a Ab
10991-8,metroNIDAZOLE
10992-6,Norclozapine
10993-4,Nafcillin
10994-2,Naltrexone
10995-9,Neomycin
10996-7,Normeperidine
10997-5,O-desmethylencainide
10998-3,oxyCODONE
10999-1,Paramethadione
11000-7,Promethazine
11001-5,Pyrazinamide
11002-3,Scopolamine
11003-1,Ticlopidine
11004-9,Tricyclic antidepressants
11005-6,Trimethoprim
11006-4,Borrelia burgdorferi Ab
1100-7,K little p super little a Ag
11007-2,Borrelia burgdorferi Ag
11008-0,Cytomegalovirus Ab.IgG
11009-8,Epstein Barr virus capsid Ab.IgG
11010-6,Epstein Barr virus capsid Ab.IgM
11011-4,Hepatitis C virus RNA
11012-2,Reovirus Ab
11013-0,DNA double strand Ab
11014-8,Somatotropin Ab
1101-5,K little p super little a Ag
11015-5,Somatotropin binding protein
11016-3,Microscopic observation
11017-1,Microscopic observation
11018-9,Microscopic observation
11019-7,Microscopic observation
11020-5,Microscopic observation
11021-3,Microscopic observation
11022-1,Barbiturates
1102-3,K little p super little a Ag
11023-9,Benzodiazepines
11024-7,Benzodiazepines
11025-4,Methadone
11026-2,Methaqualone
11027-0,Propoxyphene
11028-8,Zinc
11029-6,Consistency
11030-4,(Aspergillus fumigatus+Aspergillus niger) Ab.IgE
1103-1,K little p super little b Ab
11031-2,Lymphocytes/100 leukocytes
11032-0,Glucose^45M post 50 g lactose PO
11033-8,Thyrotropin^45M post dose TRH IV
11034-6,Acetylcholine receptor binding Ab
11035-3,Adenylate kinase
11036-1,Aldolase
11037-9,Alpha-N-acetylgalactosaminidase
11038-7,Beta+gamma tocopherol
11039-5,C reactive protein
11040-3,Cortisol.free
11041-1,Creatinine^post dialysis
11042-9,Creatinine^pre dialysis
11043-7,Cryofibrinogen
11044-5,Diphosphoglycerate mutase
11045-2,Enolase
11046-0,EPINEPHrine
11047-8,Glucose phosphate isomerase
11048-6,Glyceraldehyde 3 phosphate dehydrogenase
1104-9,K little p super little b Ab
11049-4,Hydroxyproline
11050-2,Immunoglobulin light chains.kappa
11051-0,Immunoglobulin light chains.lambda
11052-8,Ketamine
11053-6,Lactate dehydrogenase
11054-4,Cholesterol.in LDL/Cholesterol.in HDL
11055-1,Melatonin
1105-6,K little p super little b Ab
11056-9,Melatonin
11057-7,Monophosphoglyceromutase
11058-5,Phosphofructokinase
11059-3,Phosphoglycerate kinase
11060-1,Reducing substances
11061-9,11-Dehydro thromboxane beta 2
11062-7,Thyroxine.albumin bound
11063-5,Triosephosphate isomerase
1106-4,K little p super little b Ag
11064-3,Urea nitrogen^post dialysis
11065-0,Urea nitrogen^pre dialysis
11066-8,Uroporphyrinogen III synthase
11067-6,Bleeding time
11068-4,Microscopic observation
11069-2,Microscopic observation
110-7,Cefotaxime
11070-0,Microscopic observation
11071-8,Butalbital
1107-2,K little p super little b Ag
11072-6,Despropionylfentanyl
11073-4,Despropionylfentanyl
11074-2,Norfentanyl
11075-9,Norfentanyl
11076-7,Hepatitis C virus 5-1-1 Ab
11077-5,Hepatitis C virus superoxide dismutase Ab
11078-3,HIV 2 gp80 Ab
11079-1,HIV 2 p26 Ab
1108-0,K little p super little b Ag
11080-9,HIV 2 p53 Ab
11081-7,HIV 2 p56 Ab
11082-5,HIV 2 p68 Ab
11083-3,Human papilloma virus identified
11084-1,Reagin Ab
11085-8,Schistosoma sp identified
11086-6,Streptococcus pneumoniae Ag
11087-4,Insulin Ab
11088-2,Neuronal nuclear Ab
11089-0,Neuronal nuclear Ab
11090-8,Smith extractable nuclear Ab
11091-6,Alpha chlordane
11092-4,Barbiturates
11093-2,Dichlorodiphenyldichloroethylene
11094-0,Dichlorodiphenyltrichloroethane
11095-7,Dieldrin
11096-5,Gamma chlordane
11097-3,Lindane
1109-8,L little b
11098-1,Malaoxon
11099-9,Methoxychlor
11100-5,Tetrachloroethylene
11101-3,Bacteria
11102-1,Charcot-leyden crystals
11103-9,Neutrophils.band form/100 cells
11104-7,Normoblasts.basophilic/100 cells
11105-4,Basophils/100 cells
1110-6,L little e super little a Ab
11106-2,Eosinophils/100 cells
11107-0,Lymphocytes.variant/100 cells
11108-8,Lymphocytes/100 cells
11109-6,Mast cells/100 cells
11110-4,Megakaryocytes/100 cells
11111-2,Metamyelocytes/100 cells
11112-0,Monocytes/100 cells
11113-8,Myeloblasts/100 cells
1111-4,L little e super little a Ab
11114-6,Myelocytes/100 cells
11115-3,Neutrophils/100 cells
11116-1,Normoblasts.orthochromic/100 cells
11117-9,Plasma cells.immature/100 cells
11118-7,Plasma cells/100 cells
11119-5,Normoblasts.polychromatophilic/100 cells
11120-3,Promyelocytes/100 cells
11121-1,Prolymphocytes/100 cells
1112-2,L little e super little a Ab
11122-9,Promonocytes/100 cells
11123-7,Promyelocytes/100 leukocytes
11124-5,Pronormoblasts/100 cells
11125-2,Platelet morphology finding
11126-0,Platelets
11127-8,Erythrocytes
11128-6,Neutrophils.segmented/100 cells
11129-4,Pronormoblasts
1113-0,L little e super little a Ag
11130-2,Lymphocytes B
11131-0,Erythroblasts early/100 cells
11132-8,Bilirubin
11133-6,Catecholamines.free
11134-4,Appearance
11135-1,Appearance
11136-9,Erythroblasts late/100 erythrocytes
11137-7,Erythroblasts mid/100 erythrocytes
11138-5,Myeloid cells/Erythroid cells
11139-3,Metanephrine
11140-1,Metanephrine
11141-9,Phosphate/Creatinine
11142-7,Glucose^15M post 100 g glucose PO
11143-5,Glucose^45M post 100 g glucose PO
11144-3,Homovanillate
11145-0,5-Hydroxyindoleacetate/Creatinine
11146-8,Homovanillate/Creatinine
11147-6,Myoglobin/Creatinine
1114-8,L little e super little a Ag
11148-4,Potassium/Creatinine
11149-2,Sodium/Creatinine
111-5,cefoTEtan
11150-0,Blasts/100 cells
11151-8,Hematocrit
11152-6,Eosinophils/100 cells
11153-4,Hematocrit
11154-2,Cholinesterase
1115-5,L little e super little a Ag
11155-9,Cortisol/Creatinine
11156-7,Leukocyte morphology finding
11157-5,Leukocytes
11158-3,Appearance
11159-1,Alkalase Ab.IgE
11160-9,Beta lactoglobulin Ab.IgG
11161-7,Bran wheat Ab.IgE
11162-5,Theobroma cacao Ab.IgE
1116-3,L little e super little b Ab
11163-3,Carageenan Ab.IgE
